"","stable_coef_names","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1","consumed181",10,13,8,7,16,11,8,7,6,6,3,1,14,8,7,10,9,7,7
"2","hh_cook1",10,7,9,10,13,7,9,13,15,17,21,23,7,11,12,10,10,10,13
"3","hh_light1",9,16,9,10,12,10,9,9,10,9,4,2,9,9,9,11,10,9,8
"4","hh_roof1",7,4,7,6,3,6,6,7,6,5,6,6,5,5,7,7,5,6,7
"5","hh_size1",20,27,18,16,21,24,19,15,14,14,13,12,30,20,15,19,19,17,14
"6","hh_size2",12,17,10,9,13,13,11,9,8,11,12,14,19,11,8,10,11,9,7
"7","hh_toilet1",6,8,5,7,6,5,5,7,7,7,8,7,3,5,7,6,5,7,7
"8","hhead_maxgrade1",12,5,12,10,7,11,12,11,12,13,17,19,12,11,11,11,12,11,12
"9","hmany311",8,0,7,8,0,7,7,9,9,9,12,16,3,7,9,9,6,8,9
"10","purchased071",8,6,16,17,3,9,16,14,12,11,5,0,9,14,14,7,15,16,14
"11","region1",0,15,0,1,20,0,0,2,4,4,4,4,6,0,3,0,0,0,2
"12","region2",10,13,9,9,8,10,10,8,8,9,10,11,8,11,8,10,10,9,8
"13","region4",7,4,4,5,10,9,4,7,7,8,10,12,9,4,7,7,4,4,7
"14","region5",2,5,0,0,2,1,0,0,0,0,0,2,0,0,0,2,0,0,0
