"","stable_coef_names","poor_npl1","poor_npl2","poor_150npl1","poor_200npl1","poor_2011_100","poor_2011_190","poor_2011_320","poor_2011_550","poor_2011_800","poor_2011_1100","poor_2011_1500","poor_2011_2170","poor_2005_125","poor_2005_250","poor_2005_500","poor_bottom_20","poor_bottom_40","poor_bottom_60","poor_bottom_80"
"1","hh_light1",10,28,12,11,20,10,11,11,11,11,10,0,10,11,11,10,11,12,11
"2","hh_roof1",10,11,11,11,8,10,11,11,10,10,10,3,10,11,11,10,11,11,11
"3","hh_size1",11,34,12,12,22,10,12,12,12,11,11,11,10,11,12,10,12,13,12
"4","hh_size2",10,21,11,11,13,10,11,11,11,11,11,12,10,11,11,10,11,11,11
"5","radiance_around_1_kms",9,0,13,13,0,8,14,14,15,11,13,11,7,11,15,9,12,15,15
"6","radiance_around_1_kms_sq",11,0,1,4,0,14,0,0,0,10,11,11,18,9,0,13,4,0,0
"7","radiance_around_10_kms",5,0,0,5,0,6,0,0,1,10,11,11,7,7,2,7,5,0,2
"8","radiance_around_10_kms_sq",16,0,2,0,0,15,6,7,10,0,0,11,13,0,5,15,0,2,6
"9","radiance_around_5_kms",18,10,27,22,31,15,25,24,22,14,13,11,15,19,22,15,23,27,22
"10","radiance_around_5_kms_sq",0,0,11,11,0,0,10,10,9,10,11,11,0,10,11,0,11,10,11
"11","region1",10,16,10,10,19,10,10,10,10,10,10,7,10,10,10,10,10,10,10
"12","region2",10,17,11,11,10,10,11,11,10,10,11,11,10,11,11,10,11,11,11
"13","region4",10,4,10,10,10,10,10,10,10,10,11,11,10,10,11,10,10,10,11
"14","region5",10,8,10,10,3,10,10,10,10,10,10,5,10,10,10,10,11,10,10
